,W,D,L,GF,GA,GD,Pts,Place
Chelsea,27,5,6,103,32,71,86,1
Man United,27,4,7,86,28,58,85,2
Arsenal,23,6,9,83,41,42,75,3
Tottenham,21,7,10,67,41,26,70,4
Man City,18,13,7,73,45,28,67,5
Aston Villa,17,13,8,52,39,13,64,6
Liverpool,18,9,11,61,35,26,63,7
Everton,16,13,9,60,49,11,61,8
Birmingham,13,11,14,38,47,-9,50,9
Blackburn,13,11,14,41,55,-14,50,10
Stoke,11,14,13,34,48,-14,47,11
Fulham,12,10,16,39,46,-7,46,12
Sunderland,11,11,16,48,56,-8,44,13
Bolton,10,9,19,42,67,-25,39,14
Wolves,9,11,18,32,56,-24,38,15
Wigan,9,9,20,37,79,-42,36,16
West Ham,8,11,19,47,66,-19,35,17
Burnley,8,6,24,42,82,-40,30,18
Hull,6,12,20,34,75,-41,30,19
Portsmouth,7,7,24,34,66,-32,28,20
