,W,D,L,GF,GA,GD,Pts,Place
Chelsea,30,3,5,85,33,52,93,1
Tottenham,26,8,4,86,26,60,86,2
Man City,23,9,6,80,39,41,78,3
Liverpool,22,10,6,78,42,36,76,4
Arsenal,23,6,9,77,44,33,75,5
Man United,18,15,5,54,29,25,69,6
Everton,17,10,11,62,44,18,61,7
Southampton,12,10,16,41,48,-7,46,8
Bournemouth,12,10,16,55,67,-12,46,9
West Brom,12,9,17,43,51,-8,45,10
West Ham,12,9,17,47,64,-17,45,11
Leicester,12,8,18,48,63,-15,44,12
Stoke,11,11,16,41,56,-15,44,13
Crystal Palace,12,5,21,50,63,-13,41,14
Swansea,12,5,21,45,70,-25,41,15
Burnley,11,7,20,39,55,-16,40,16
Watford,11,7,20,40,68,-28,40,17
Hull,9,7,22,37,80,-43,34,18
Middlesbrough,5,13,20,27,53,-26,28,19
Sunderland,6,6,26,29,69,-40,24,20
