,W,D,L,GF,GA,GD,Pts,Place
Man City,18,2,2,54,13,41,56,1
Liverpool,13,6,2,55,18,37,45,2
Chelsea,12,7,3,45,17,28,43,3
West Ham,11,4,7,41,30,11,37,4
Arsenal,11,2,7,33,25,8,35,5
Tottenham,10,3,5,23,20,3,33,6
Man United,9,5,6,32,29,3,32,7
Wolves,9,4,7,17,15,2,31,8
Brighton,6,10,4,21,21,0,28,9
Leicester,7,4,7,31,33,-2,25,10
Crystal Palace,5,9,7,30,31,-1,24,11
Southampton,5,9,7,25,33,-8,24,12
Aston Villa,7,2,11,27,32,-5,23,13
Brentford,6,5,10,24,33,-9,23,14
Leeds,5,7,8,24,39,-15,22,15
Everton,5,4,10,24,34,-10,19,16
Watford,4,2,13,23,37,-14,14,17
Norwich,3,4,14,10,45,-35,13,18
Newcastle,1,9,10,20,43,-23,12,19
Burnley,1,8,8,16,27,-11,11,20
