,W,D,L,GF,GA,GD,Pts,Place
Man City,27,5,6,102,37,65,86,1
Liverpool,26,6,6,101,50,51,84,2
Chelsea,25,7,6,71,27,44,82,3
Arsenal,24,7,7,68,41,27,79,4
Everton,21,9,8,61,39,22,72,5
Tottenham,21,6,11,55,51,4,69,6
Man United,19,7,12,64,43,21,64,7
Southampton,15,11,12,54,46,8,56,8
Stoke,13,11,14,45,52,-7,50,9
Newcastle,15,4,19,43,59,-16,49,10
Crystal Palace,13,6,19,33,48,-15,45,11
Swansea,11,9,18,54,54,0,42,12
West Ham,11,7,20,40,51,-11,40,13
Sunderland,10,8,20,41,60,-19,38,14
Aston Villa,10,8,20,39,61,-22,38,15
Hull,10,7,21,38,53,-15,37,16
West Brom,7,15,16,43,59,-16,36,17
Norwich,8,9,21,28,62,-34,33,18
Fulham,9,5,24,40,85,-45,32,19
Cardiff,7,9,22,32,74,-42,30,20
